roll,pitch,yaw
-0.797208,-0.425875,-1.26818
-0.885135,-0.403823,-1.23512
-0.999709,-0.351582,-1.18019
-1.08755,-0.321601,-1.13361
-1.1904,-0.248704,-1.0851
-1.25289,-0.204211,-1.05124
-1.29755,-0.182682,-1.08373
-1.36402,-0.157422,-1.10285
-1.42535,-0.119257,-1.07762
-1.50684,-0.061009,-1.05487
-1.59159,-0.0092081,-1.03407
-1.67379,0.0321905,-1.0294
-1.74854,0.0664381,-1.0118
-1.81623,0.111961,-0.99636
-1.88183,0.150106,-0.968196
-1.94163,0.210546,-0.939695
-2.01018,0.245501,-0.919722
-2.06846,0.267092,-0.904136
-2.11511,0.289369,-0.907297
-2.16881,0.295815,-0.906626
-2.22514,0.289836,-0.909995
-2.25164,0.288121,-0.9176
-2.26036,0.298281,-0.922157
-2.2669,0.30417,-0.920674
-2.27388,0.308372,-0.918065
-2.29872,0.313025,-0.911964
-2.31602,0.301781,-0.905314
-2.3292,0.28862,-0.903199
-2.33875,0.293411,-0.894175
-2.34082,0.288974,-0.88877
-2.3437,0.286827,-0.887234
-2.34665,0.279137,-0.893181
-2.31771,0.246605,-0.91177
-2.18894,0.196059,-0.936145
-2.03814,0.144644,-0.969346
-1.86968,0.00407705,-1.0295
-1.63951,-0.152956,-1.10773
-1.34974,-0.297387,-1.19945
-1.085,-0.325318,-1.2883
-0.925667,-0.306316,-1.33555
-0.805997,-0.321846,-1.38401
-0.680921,-0.339785,-1.45454
-0.552632,-0.346754,-1.51703
-0.423602,-0.31044,-1.56845
-0.304619,-0.298611,-1.63477
-0.206097,-0.258283,-1.6812
-0.163692,-0.26052,-1.70244
-0.123461,-0.375986,-1.74544
0.337346,-0.817091,-2.07834
0.81911,-1.03243,-2.51718
1.19423,-1.05875,-2.95806
1.07427,-1.05118,-2.92748
0.57413,-0.998538,-2.5186
0.200261,-0.762991,-2.26658
0.243113,-0.564935,-2.2392
0.0929409,-0.435388,-1.99821
0.138567,-0.443681,-1.93301
0.163276,-0.446447,-1.95949
0.217029,-0.46825,-1.98835
0.240026,-0.466937,-1.99341
0.267818,-0.464672,-1.99059
0.270182,-0.435875,-1.96946
0.257859,-0.382105,-1.92502
0.255752,-0.339457,-1.87307
0.251252,-0.304671,-1.84282
0.265395,-0.28866,-1.82854
0.280708,-0.293016,-1.83605
0.308213,-0.312008,-1.87384
0.362991,-0.351522,-1.94109
0.409261,-0.372341,-1.99498
0.448258,-0.409806,-2.02592
0.473787,-0.432887,-2.04714
0.528529,-0.458514,-2.08265
0.59007,-0.467387,-2.12729
0.661339,-0.50454,-2.17258
0.718801,-0.527915,-2.24102
0.77728,-0.554203,-2.31308
0.806812,-0.581511,-2.361
0.854843,-0.636272,-2.42306
0.922678,-0.704408,-2.52425
1.00983,-0.741238,-2.65102
1.08619,-0.754491,-2.75722
1.1462,-0.772784,-2.83567
1.19928,-0.788082,-2.90218
1.26839,-0.793973,-2.97941
1.35193,-0.785029,-3.08742
1.43475,-0.753329,3.07383
1.51333,-0.703335,2.93786
1.57121,-0.662305,2.83835
1.63773,-0.617954,2.75775
1.68726,-0.599742,2.71368
1.73844,-0.583025,2.68522
1.77373,-0.582238,2.67349
1.80805,-0.581397,2.66279
1.83379,-0.577528,2.65571
1.84423,-0.587458,2.65692
