roll,pitch,yaw,roll_next,pitch_next,yaw_next
-0.260187,-0.48927,-1.56839,-0.172677,-0.506662,-1.63924
-0.172677,-0.506662,-1.63924,-0.152652,-0.510727,-1.63675
-0.152652,-0.510727,-1.63675,-0.109295,-0.514652,-1.65394
-0.109295,-0.514652,-1.65394,-0.0683612,-0.500814,-1.66695
-0.0683612,-0.500814,-1.66695,-0.0258497,-0.489403,-1.70021
-0.0258497,-0.489403,-1.70021,-0.0210634,-0.468695,-1.705
-0.0210634,-0.468695,-1.705,-0.017763,-0.450168,-1.712
-0.017763,-0.450168,-1.712,-0.00555549,-0.422692,-1.7121
-0.00555549,-0.422692,-1.7121,0.00795854,-0.409368,-1.7079
0.00795854,-0.409368,-1.7079,0.0166776,-0.399533,-1.69923
0.0166776,-0.399533,-1.69923,0.0282275,-0.396636,-1.69902
0.0282275,-0.396636,-1.69902,0.0363467,-0.389459,-1.69934
0.0363467,-0.389459,-1.69934,0.0568203,-0.390235,-1.71594
0.0568203,-0.390235,-1.71594,0.0610512,-0.390254,-1.72079
0.0610512,-0.390254,-1.72079,0.0664634,-0.389011,-1.72396
0.0664634,-0.389011,-1.72396,0.0654991,-0.380603,-1.72165
0.0654991,-0.380603,-1.72165,0.0605147,-0.367739,-1.71485
0.0605147,-0.367739,-1.71485,0.0614094,-0.363912,-1.71511
0.0614094,-0.363912,-1.71511,0.0768168,-0.375225,-1.73167
0.0768168,-0.375225,-1.73167,0.10917,-0.4298,-1.7697
0.10917,-0.4298,-1.7697,0.141463,-0.499363,-1.81648
0.141463,-0.499363,-1.81648,0.17603,-0.57796,-1.87915
0.17603,-0.57796,-1.87915,0.246931,-0.665571,-1.9733
0.246931,-0.665571,-1.9733,0.290903,-0.734223,-2.03606
0.290903,-0.734223,-2.03606,0.318165,-0.788183,-2.07174
0.318165,-0.788183,-2.07174,0.376838,-0.823368,-2.1232
0.376838,-0.823368,-2.1232,0.419493,-0.848539,-2.15703
0.419493,-0.848539,-2.15703,0.473019,-0.874109,-2.20616
0.473019,-0.874109,-2.20616,0.492197,-0.878123,-2.23463
0.492197,-0.878123,-2.23463,0.463445,-0.852341,-2.2086
0.463445,-0.852341,-2.2086,0.413042,-0.787685,-2.14399
0.413042,-0.787685,-2.14399,0.340371,-0.717966,-2.03063
0.340371,-0.717966,-2.03063,0.316462,-0.624279,-1.9582
0.316462,-0.624279,-1.9582,0.256646,-0.490124,-1.87385
0.256646,-0.490124,-1.87385,0.154087,-0.262558,-1.7598
0.154087,-0.262558,-1.7598,0.108741,-0.0220693,-1.61751
0.108741,-0.0220693,-1.61751,0.0975755,-0.186749,-1.62896
0.0975755,-0.186749,-1.62896,0.595375,-0.547256,-2.20547
0.595375,-0.547256,-2.20547,1.34203,-0.849965,-2.86303
1.34203,-0.849965,-2.86303,1.82016,-0.671527,3.00934
1.82016,-0.671527,3.00934,1.93251,-0.607409,2.86929
1.93251,-0.607409,2.86929,1.94485,-0.554663,2.81197
1.94485,-0.554663,2.81197,1.97403,-0.522468,2.76933
1.97403,-0.522468,2.76933,1.9784,-0.543051,2.77546
1.9784,-0.543051,2.77546,1.89319,-0.607991,2.84952
