roll,pitch,yaw
0.152837,-0.492576,-1.78081
0.189598,-0.351166,-1.74745
0.216324,-0.276025,-1.70623
0.241221,-0.213744,-1.69006
0.258645,-0.204445,-1.6947
0.276126,-0.19655,-1.68648
0.282888,-0.19864,-1.67401
0.293532,-0.182995,-1.65907
0.316818,-0.151361,-1.64746
0.318721,-0.134562,-1.62142
0.30788,-0.134788,-1.60442
0.297725,-0.126235,-1.59761
0.275166,-0.126056,-1.59841
0.240588,-0.138517,-1.58166
0.198726,-0.154371,-1.57114
0.152024,-0.161349,-1.56697
0.100429,-0.157385,-1.56462
0.0473627,-0.153807,-1.56289
-0.00414708,-0.159654,-1.55789
-0.0435665,-0.169118,-1.56034
-0.065612,-0.166128,-1.55819
-0.0980659,-0.179332,-1.55471
-0.132741,-0.183426,-1.54168
-0.16555,-0.179297,-1.53989
-0.192253,-0.179015,-1.53687
-0.223118,-0.186385,-1.54692
-0.252244,-0.178422,-1.55828
-0.273167,-0.1766,-1.57339
-0.317245,-0.150175,-1.56447
-0.336963,-0.131583,-1.57411
-0.349876,-0.124842,-1.5825
-0.336698,-0.136109,-1.60824
-0.300149,-0.177347,-1.63683
-0.273466,-0.227496,-1.65191
-0.232137,-0.238636,-1.69411
-0.165765,-0.247429,-1.70779
-0.0700525,-0.260511,-1.76751
0.136365,-0.208734,-1.89552
0.237793,-0.17977,-1.87335
0.377471,-0.123127,-1.92709
0.49666,-0.0744488,-1.94033
0.613752,-0.0150258,-1.96789
0.712498,0.0526017,-1.98257
0.80246,0.14409,-1.97119
0.913303,0.187432,-1.9159
0.955517,0.186091,-1.91658
0.99211,0.222652,-1.89061
1.0285,0.223766,-1.83316
1.06983,0.266384,-1.81291
1.10357,0.292178,-1.80388
1.11046,0.291659,-1.774
1.13051,0.306462,-1.75253
1.1167,0.30791,-1.73667
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
0,-0,-1.5708
